Sample,Plant_ID,PLA_mm2,PLA_Green_mm2,PLA_Red_mm2,Width_mm,Height_mm,Hull_mm2,Solidity,PCA_Angle_deg,PCA_Aspect_Ratio
rgb_001_02.png,Plant_05,406.77,399.71,0.0,18.41,33.76,457.4,0.8893,85.12,1.776
rgb_001_03.png,Plant_01,235.08,233.51,0.0,23.15,18.09,273.82,0.8585,152.21,1.6
rgb_001_03.png,Plant_02,408.9,370.16,0.0,61.5,37.63,1460.73,0.2799,6.89,2.239
rgb_001_03.png,Plant_03,255.5,252.88,0.0,15.92,26.77,319.37,0.8,86.18,1.894
rgb_001_03.png,Plant_04,375.39,364.92,0.0,23.15,30.39,440.84,0.8515,68.24,1.518
rgb_001_03.png,Plant_05,405.24,401.05,0.0,18.81,31.84,447.64,0.9053,82.62,1.736
rgb_001_04.png,Plant_01,237.88,235.86,0.0,23.45,17.77,277.02,0.8587,170.18,1.711
rgb_001_04.png,Plant_02,390.91,387.37,0.0,35.53,29.85,526.26,0.7428,148.54,2.59
rgb_001_04.png,Plant_03,262.12,258.59,0.0,15.63,27.01,318.18,0.8238,90.61,1.992
rgb_001_04.png,Plant_04,375.25,369.7,0.0,22.74,29.14,417.42,0.899,71.31,1.541
rgb_001_04.png,Plant_05,446.97,442.93,0.0,22.03,31.98,489.65,0.9128,77.48,1.547
rgb_001_05.png,Plant_01,246.42,244.42,0.0,23.38,17.71,279.05,0.8831,159.17,1.769
rgb_001_05.png,Plant_02,449.18,443.66,0.0,36.13,30.46,609.54,0.7369,149.39,2.117
rgb_001_05.png,Plant_03,293.1,291.09,0.0,16.29,28.34,358.59,0.8174,90.51,1.7
rgb_001_05.png,Plant_04,432.12,426.1,0.0,22.67,30.46,464.99,0.9293,63.35,1.539
rgb_001_05.png,Plant_05,493.85,490.84,0.0,26.21,31.88,556.34,0.8877,82.77,1.267
rgb_002_00.png,Plant_01,253.7,251.67,0.0,24.17,17.77,288.06,0.8807,163.97,1.573
rgb_002_00.png,Plant_02,473.03,467.47,0.0,37.68,29.86,655.21,0.7219,148.84,1.903
rgb_002_00.png,Plant_03,303.22,300.19,0.0,15.64,29.86,366.65,0.827,94.86,2.099
rgb_002_00.png,Plant_04,472.02,468.98,0.0,22.75,31.99,513.96,0.9184,74.17,1.451
rgb_002_00.png,Plant_05,502.84,497.28,0.0,27.72,31.28,573.09,0.8774,78.69,1.272
rgb_002_01.png,Plant_01,267.17,265.16,0.0,24.12,18.44,299.37,0.8924,155.29,1.749
rgb_002_01.png,Plant_02,527.3,524.28,0.0,38.3,29.79,658.87,0.8003,149.92,1.948
rgb_002_01.png,Plant_03,326.04,322.01,0.0,17.02,29.79,394.47,0.8265,100.27,1.853
rgb_002_01.png,Plant_04,485.53,479.5,0.0,23.41,31.92,538.36,0.9019,75.75,1.379
rgb_002_01.png,Plant_05,519.25,515.22,0.0,29.79,31.92,591.45,0.8779,77.21,1.195
rgb_002_02.png,Plant_01,284.99,281.46,0.0,25.57,18.47,320.05,0.8905,171.69,1.58
rgb_002_02.png,Plant_02,503.91,501.39,0.0,39.06,29.83,623.2,0.8086,153.11,2.122
rgb_002_02.png,Plant_03,342.5,337.96,0.0,17.05,31.25,418.41,0.8186,92.75,1.933
rgb_002_02.png,Plant_04,496.34,490.79,0.0,24.15,32.67,554.1,0.8958,79.35,1.369
rgb_002_02.png,Plant_05,514.0,508.45,0.0,30.54,31.25,586.63,0.8762,60.16,1.107
rgb_002_03.png,Plant_01,333.71,331.21,0.0,26.17,19.1,350.47,0.9522,164.89,1.579
rgb_002_03.png,Plant_02,598.37,594.87,0.0,41.03,31.12,764.98,0.7822,147.38,1.979
rgb_002_03.png,Plant_03,383.24,380.24,0.0,17.68,31.12,432.02,0.8871,95.8,1.755
rgb_002_03.png,Plant_04,504.32,498.81,0.0,24.76,32.54,567.1,0.8893,76.95,1.431
rgb_002_03.png,Plant_05,617.39,612.88,0.0,38.2,33.24,755.72,0.8169,174.85,1.114
rgb_002_04.png,Plant_01,350.97,348.96,0.0,26.95,19.15,357.01,0.9831,171.94,1.551
rgb_002_04.png,Plant_02,748.71,744.69,0.0,41.13,31.91,999.12,0.7494,154.69,1.515
rgb_002_04.png,Plant_03,474.17,468.64,0.0,23.4,32.62,549.34,0.8632,99.35,1.463
rgb_002_04.png,Plant_04,570.71,564.68,0.0,28.36,32.62,674.8,0.8458,92.12,1.172
rgb_002_04.png,Plant_05,711.5,706.47,0.0,42.55,34.04,896.04,0.7941,174.84,1.114
rgb_002_05.png,Plant_01,371.57,370.57,0.0,28.25,19.07,379.8,0.9783,169.97,1.532
rgb_002_05.png,Plant_02,785.54,779.55,0.0,42.37,31.78,1043.39,0.7529,166.27,1.375
rgb_002_05.png,Plant_03,519.7,516.21,0.0,25.42,33.9,611.22,0.8503,98.68,1.542
rgb_002_05.png,Plant_04,650.37,646.38,0.0,32.49,33.9,777.81,0.8362,101.05,1.142
rgb_002_05.png,Plant_05,735.66,730.17,0.0,44.49,34.61,924.19,0.796,177.88,1.221
rgb_003_00.png,Plant_01,372.14,369.65,0.0,28.21,19.04,379.35,0.981,164.32,1.473
rgb_003_00.png,Plant_02,784.08,777.11,0.0,42.32,33.86,1073.88,0.7301,160.25,1.293
rgb_003_00.png,Plant_03,536.82,534.33,0.0,26.8,33.86,640.3,0.8384,96.8,1.349
rgb_003_00.png,Plant_04,673.63,670.15,0.0,33.15,33.86,787.06,0.8559,129.34,1.052
rgb_003_00.png,Plant_05,780.1,773.63,0.0,46.55,33.86,988.56,0.7891,179.32,1.337
rgb_003_01.png,Plant_01,377.4,374.94,0.0,28.74,18.93,380.59,0.9916,162.05,1.657
rgb_003_01.png,Plant_02,833.91,825.55,0.0,42.76,33.65,1118.92,0.7453,159.36,1.398
rgb_003_01.png,Plant_03,549.88,546.93,0.0,25.94,34.35,649.63,0.8464,94.61,1.549
rgb_003_01.png,Plant_04,724.32,720.39,0.0,35.75,34.35,858.72,0.8435,126.06,1.078
rgb_003_01.png,Plant_05,789.68,782.8,0.0,49.07,34.35,1009.09,0.7826,177.21,1.296
rgb_003_02.png,Plant_01,371.41,368.48,0.0,28.66,18.87,381.92,0.9725,173.04,1.571
rgb_003_02.png,Plant_02,786.32,778.99,0.0,41.25,32.86,1033.11,0.7611,153.85,1.415
rgb_003_02.png,Plant_03,556.63,553.21,0.0,25.87,34.95,649.73,0.8567,98.78,1.501
rgb_003_02.png,Plant_04,728.16,723.76,0.0,37.05,34.95,887.72,0.8203,109.95,1.022
rgb_003_02.png,Plant_05,828.83,822.97,0.0,50.33,33.56,1036.77,0.7994,172.01,1.479
rgb_003_03.png,Plant_01,398.78,396.33,0.0,28.66,20.27,401.47,0.9933,160.99,1.478
rgb_003_03.png,Plant_02,902.63,894.32,0.0,41.94,44.04,1342.46,0.6724,81.2,1.058
rgb_003_03.png,Plant_03,648.99,645.08,0.0,33.56,35.65,794.87,0.8165,91.74,1.146
rgb_003_03.png,Plant_04,760.9,756.02,0.0,40.55,34.25,937.08,0.812,146.26,1.236
rgb_003_03.png,Plant_05,878.19,871.35,0.0,56.62,33.56,1182.16,0.7429,170.34,1.583
rgb_003_04.png,Plant_01,423.79,420.85,0.0,30.82,19.61,426.73,0.9931,169.54,1.654
rgb_003_04.png,Plant_02,1034.46,1023.67,0.0,44.82,49.02,1583.08,0.6534,46.65,1.275
rgb_003_04.png,Plant_03,726.92,722.01,0.0,37.12,36.42,908.15,0.8004,59.08,1.081
rgb_003_04.png,Plant_04,854.45,849.54,0.0,45.52,34.32,1090.86,0.7833,150.6,1.458
rgb_003_04.png,Plant_05,960.88,955.49,0.0,61.63,35.02,1316.74,0.7297,174.37,1.715
rgb_003_05.png,Plant_01,438.41,435.96,0.0,30.78,20.29,444.53,0.9862,169.03,1.474
rgb_003_05.png,Plant_02,1072.05,1063.73,0.0,46.17,48.27,1595.6,0.6719,27.89,1.166
rgb_003_05.png,Plant_03,753.52,749.6,0.0,37.77,37.07,966.36,0.7797,56.88,1.196
rgb_003_05.png,Plant_04,915.96,911.56,0.0,49.66,35.67,1196.57,0.7655,148.5,1.523
rgb_003_05.png,Plant_05,1021.16,1012.84,0.0,62.26,36.37,1400.37,0.7292,172.48,1.688
rgb_004_00.png,Plant_01,447.98,445.53,0.0,30.79,20.99,454.1,0.9865,161.64,1.389
rgb_004_00.png,Plant_02,1187.76,1180.91,0.0,47.58,52.48,1753.98,0.6772,46.07,1.229
rgb_004_00.png,Plant_03,791.68,787.27,0.0,39.88,37.78,1025.21,0.7722,42.11,1.224
rgb_004_00.png,Plant_04,973.32,967.44,0.0,50.38,35.69,1252.39,0.7772,152.78,1.504
rgb_004_00.png,Plant_05,1017.87,1010.04,0.0,61.57,35.69,1409.06,0.7224,177.38,1.741
rgb_004_01.png,Plant_01,438.14,435.21,0.0,30.77,20.98,451.83,0.9697,165.65,1.441
rgb_004_01.png,Plant_02,1274.33,1266.99,0.0,48.25,55.24,1834.96,0.6945,54.44,1.304
rgb_004_01.png,Plant_03,859.17,856.72,0.0,43.36,38.46,1092.18,0.7867,24.97,1.224
rgb_004_01.png,Plant_04,1007.82,1004.4,0.0,51.05,36.36,1244.5,0.8098,154.38,1.567
rgb_004_01.png,Plant_05,1102.2,1095.35,0.0,65.73,35.66,1497.56,0.736,175.03,1.916
rgb_004_02.png,Plant_01,440.59,438.14,0.0,30.77,20.98,452.32,0.9741,161.53,1.502
rgb_004_02.png,Plant_02,1331.54,1324.21,0.0,48.25,56.64,1892.91,0.7034,59.65,1.335
rgb_004_02.png,Plant_03,869.93,865.04,0.0,44.75,39.16,1122.98,0.7747,20.24,1.189
rgb_004_02.png,Plant_04,1045.48,1041.56,0.0,50.35,36.36,1291.44,0.8095,151.08,1.496
rgb_004_02.png,Plant_05,1208.8,1203.42,0.0,67.13,35.66,1580.44,0.7649,173.03,1.798
rgb_004_03.png,Plant_01,457.07,454.63,0.0,30.73,23.75,493.9,0.9254,149.42,1.254
rgb_004_03.png,Plant_02,1240.0,1227.8,0.0,48.89,63.56,1999.27,0.6202,58.16,1.662
rgb_004_03.png,Plant_03,993.17,988.78,0.0,52.38,39.11,1358.29,0.7312,24.9,1.292
rgb_004_03.png,Plant_04,1102.44,1097.07,0.0,54.48,36.32,1397.07,0.7891,152.76,1.759
rgb_004_03.png,Plant_05,1227.8,1218.54,0.0,71.24,37.02,1721.95,0.713,172.3,2.093
rgb_004_04.png,Plant_01,487.42,484.0,0.0,30.75,27.26,549.94,0.8863,147.92,1.255
rgb_004_04.png,Plant_02,1309.89,1300.12,0.0,49.62,67.09,2137.97,0.6127,63.09,1.59
rgb_004_04.png,Plant_03,1038.83,1032.48,0.0,55.21,39.14,1463.74,0.7097,21.92,1.524
rgb_004_04.png,Plant_04,1165.32,1161.42,0.0,58.7,36.34,1504.52,0.7745,153.43,1.762
rgb_004_04.png,Plant_05,1254.21,1244.44,0.0,74.08,37.74,1817.09,0.6902,177.46,2.057
rgb_004_05.png,Plant_01,503.58,501.15,0.0,32.04,27.16,567.62,0.8872,153.74,1.361
rgb_004_05.png,Plant_02,1316.19,1302.61,0.0,51.54,68.26,2207.88,0.5961,63.23,1.631
rgb_004_05.png,Plant_03,1052.76,1048.88,0.0,55.03,39.7,1490.6,0.7063,21.72,1.469
rgb_004_05.png,Plant_04,1242.94,1237.11,0.0,59.9,39.01,1592.0,0.7807,151.93,1.864
rgb_004_05.png,Plant_05,1330.26,1321.53,0.0,76.62,38.31,1884.05,0.7061,175.27,2.108
rgb_005_00.png,Plant_01,499.39,496.47,0.0,32.11,27.22,576.13,0.8668,158.75,1.312
rgb_005_00.png,Plant_02,1464.56,1457.25,0.0,53.05,71.2,2331.55,0.6281,72.68,1.635
rgb_005_00.png,Plant_03,1076.74,1071.86,0.0,54.44,40.48,1514.01,0.7112,22.93,1.475
rgb_005_00.png,Plant_04,1330.09,1324.73,0.0,62.82,40.48,1689.65,0.7872,152.29,1.991
rgb_005_00.png,Plant_05,1271.13,1263.34,0.0,71.2,38.39,1853.11,0.6859,0.9,1.892
rgb_005_01.png,Plant_01,502.43,498.54,0.0,32.05,29.96,598.79,0.8391,137.83,1.217
rgb_005_01.png,Plant_02,1706.8,1694.17,0.0,56.44,71.76,2562.86,0.666,65.73,1.436
rgb_005_01.png,Plant_03,1183.01,1177.67,0.0,57.83,41.11,1625.73,0.7277,24.75,1.518
rgb_005_01.png,Plant_04,1352.43,1347.57,0.0,62.71,41.11,1691.02,0.7998,152.21,1.999
rgb_005_01.png,Plant_05,1232.52,1221.84,0.0,68.28,39.02,1802.18,0.6839,177.59,1.776
rgb_005_02.png,Plant_01,491.53,488.62,0.0,32.71,30.62,621.07,0.7914,152.27,1.272
rgb_005_02.png,Plant_02,1852.3,1843.58,0.0,57.06,76.55,2802.91,0.6609,57.77,1.712
rgb_005_02.png,Plant_03,1247.46,1239.23,0.0,61.93,41.75,1728.57,0.7217,24.35,1.638
rgb_005_02.png,Plant_04,1402.42,1397.09,0.0,61.93,42.45,1666.59,0.8415,151.34,1.989
rgb_005_02.png,Plant_05,1251.82,1237.29,0.0,68.2,39.67,1834.62,0.6823,179.72,1.865
rgb_005_03.png,Plant_01,565.68,562.28,0.0,32.04,38.31,757.55,0.7467,104.29,1.29
rgb_005_03.png,Plant_02,1896.42,1881.87,0.0,59.9,81.49,2990.9,0.6341,59.58,1.881
rgb_005_03.png,Plant_03,1334.63,1325.41,0.0,67.56,43.88,1878.71,0.7104,20.68,1.79
rgb_005_03.png,Plant_04,1557.31,1552.94,0.0,63.38,46.67,1830.93,0.8506,145.75,1.978
rgb_005_03.png,Plant_05,1299.7,1291.93,0.0,68.26,45.27,2103.58,0.6179,174.47,1.555
rgb_005_04.png,Plant_01,621.31,616.46,0.0,32.71,43.84,849.15,0.7317,100.84,1.455
rgb_005_04.png,Plant_02,1948.18,1935.59,0.0,61.24,86.99,3131.23,0.6222,58.73,2.098
rgb_005_04.png,Plant_03,1353.03,1343.83,0.0,68.89,45.93,2022.52,0.669,23.04,1.887
rgb_005_04.png,Plant_04,1671.67,1666.83,0.0,68.89,50.1,1981.6,0.8436,146.23,2.137
rgb_005_04.png,Plant_05,1324.94,1316.71,0.0,71.68,45.93,2277.48,0.5818,1.51,1.66
rgb_005_05.png,Plant_01,627.47,624.1,0.0,32.63,43.74,852.53,0.736,97.98,1.263
rgb_005_05.png,Plant_02,1828.92,1814.46,0.0,54.84,79.83,2869.4,0.6374,68.44,1.717
rgb_005_05.png,Plant_03,1295.9,1287.71,0.0,65.26,45.82,1988.92,0.6516,26.07,1.727
rgb_005_05.png,Plant_04,1707.47,1704.1,0.0,68.03,51.37,1987.23,0.8592,145.17,2.02
rgb_005_05.png,Plant_05,1408.67,1395.66,0.0,70.81,50.68,2452.05,0.5745,9.31,1.59
rgb_006_00.png,Plant_01,617.75,611.51,0.0,32.55,43.63,848.2,0.7283,96.01,1.45
rgb_006_00.png,Plant_02,2136.21,2124.7,0.0,60.94,85.18,3368.35,0.6342,62.65,1.972
rgb_006_00.png,Plant_03,1298.8,1291.13,0.0,63.71,45.71,1900.48,0.6834,26.6,1.57
rgb_006_00.png,Plant_04,1812.95,1807.67,0.0,70.64,51.94,2093.76,0.8659,147.37,2.09
rgb_006_00.png,Plant_05,1493.53,1481.06,0.0,69.25,51.94,2435.49,0.6132,15.52,1.444
rgb_006_01.png,Plant_01,631.18,626.86,0.0,32.55,44.32,846.28,0.7458,103.67,1.448
rgb_006_01.png,Plant_02,2250.36,2240.77,0.0,62.33,85.18,3486.57,0.6454,63.15,1.828
rgb_006_01.png,Plant_03,1390.41,1382.25,0.0,63.02,45.02,1961.15,0.709,32.65,1.631
rgb_006_01.png,Plant_04,1934.29,1928.54,0.0,72.72,51.94,2201.44,0.8786,150.76,2.136
rgb_006_01.png,Plant_05,1521.82,1506.47,0.0,69.25,51.94,2463.55,0.6177,9.66,1.443
rgb_006_02.png,Plant_01,694.93,689.67,0.0,33.86,46.99,964.3,0.7207,97.05,1.471
rgb_006_02.png,Plant_02,2451.1,2438.69,0.0,67.73,89.84,3788.18,0.647,61.71,1.957
rgb_006_02.png,Plant_03,1576.12,1564.18,0.0,69.8,45.61,2149.73,0.7332,24.22,1.71
rgb_006_02.png,Plant_04,2028.42,2025.55,0.0,69.11,56.67,2303.28,0.8807,142.65,1.865
rgb_006_02.png,Plant_05,1943.4,1931.94,0.0,85.0,58.05,3135.52,0.6198,0.55,1.604
rgb_006_03.png,Plant_01,810.54,803.83,0.0,36.68,53.99,1202.16,0.6742,94.0,1.544
rgb_006_03.png,Plant_02,2438.8,2424.91,0.0,74.75,92.75,3993.29,0.6107,55.57,2.148
rgb_006_03.png,Plant_03,1777.72,1767.66,0.0,79.59,49.83,2487.9,0.7145,25.23,2.014
rgb_006_03.png,Plant_04,2166.23,2161.92,0.0,71.29,62.29,2522.87,0.8586,144.52,1.945
rgb_006_03.png,Plant_05,2147.07,2135.09,0.0,86.52,62.29,3488.14,0.6155,176.24,1.566
rgb_006_04.png,Plant_01,854.1,845.96,0.0,39.44,53.97,1283.06,0.6657,96.68,1.412
rgb_006_04.png,Plant_02,2578.58,2566.13,0.0,74.73,98.25,4131.18,0.6242,58.19,2.27
rgb_006_04.png,Plant_03,1853.26,1840.81,0.0,84.41,51.2,2694.67,0.6877,23.32,2.179
rgb_006_04.png,Plant_04,2264.03,2258.77,0.0,74.73,66.42,2740.16,0.8262,144.21,2.115
rgb_006_04.png,Plant_05,2255.89,2243.93,0.0,89.26,62.27,3747.22,0.602,178.04,1.604
rgb_006_05.png,Plant_01,879.08,869.92,0.0,40.97,54.16,1322.0,0.665,87.76,1.287
rgb_006_05.png,Plant_02,2756.36,2744.79,0.0,75.0,97.91,4228.57,0.6518,62.47,2.259
rgb_006_05.png,Plant_03,1739.36,1726.34,0.0,80.55,51.39,2640.87,0.6586,25.04,2.041
rgb_006_05.png,Plant_04,2372.51,2366.24,0.0,78.47,66.66,2937.19,0.8077,144.85,2.126
rgb_006_05.png,Plant_05,2364.32,2350.33,0.0,89.58,65.97,3890.54,0.6077,3.39,1.486
rgb_007_00.png,Plant_01,927.81,916.76,0.0,42.28,55.45,1406.85,0.6595,92.49,1.392
rgb_007_00.png,Plant_02,2767.57,2757.0,0.0,74.17,96.35,4190.03,0.6605,63.3,2.087
rgb_007_00.png,Plant_03,1754.71,1741.26,0.0,74.17,50.6,2550.39,0.688,25.69,1.82
rgb_007_00.png,Plant_04,2440.84,2435.08,0.0,80.41,63.08,2936.7,0.8312,146.62,2.303
rgb_007_00.png,Plant_05,2478.32,2464.38,0.0,89.42,67.24,3976.46,0.6232,7.11,1.49
rgb_007_01.png,Plant_01,929.25,917.24,0.0,43.67,54.76,1485.41,0.6256,100.5,1.31
rgb_007_01.png,Plant_02,2725.77,2715.2,0.0,74.86,94.96,4266.67,0.6389,63.64,2.074
rgb_007_01.png,Plant_03,1965.17,1954.11,0.0,75.56,51.29,2767.57,0.7101,23.61,1.6
rgb_007_01.png,Plant_04,2538.86,2531.17,0.0,82.49,60.31,2998.2,0.8468,152.59,2.036
rgb_007_01.png,Plant_05,2570.09,2557.6,0.0,89.42,67.24,4004.32,0.6418,3.83,1.385
rgb_007_02.png,Plant_01,1036.88,1020.54,0.0,49.21,57.53,1724.44,0.6013,88.6,1.116
rgb_007_02.png,Plant_02,2994.35,2982.34,0.0,74.86,99.82,4795.2,0.6244,67.21,1.675
rgb_007_02.png,Plant_03,2021.86,2010.33,0.0,81.1,50.6,2940.3,0.6876,21.84,1.712
rgb_007_02.png,Plant_04,2650.81,2644.08,0.0,82.49,61.69,3138.02,0.8447,154.94,1.937
rgb_007_02.png,Plant_05,2777.66,2761.8,0.0,89.42,69.32,4259.94,0.652,172.13,1.323
rgb_007_03.png,Plant_01,1140.66,1128.17,0.0,46.44,65.85,1956.04,0.5831,92.58,1.461
rgb_007_03.png,Plant_02,3348.47,3334.05,0.0,79.02,103.28,4941.74,0.6776,69.79,1.606
rgb_007_03.png,Plant_03,2280.84,2267.87,0.0,87.34,56.84,3480.84,0.6553,19.74,1.697
rgb_007_03.png,Plant_04,2769.01,2761.8,0.0,84.57,65.16,3333.33,0.8307,152.53,1.979
rgb_007_03.png,Plant_05,3040.0,3027.03,0.0,89.42,70.7,4442.76,0.6843,171.67,1.349
rgb_007_04.png,Plant_01,1246.41,1236.36,0.0,50.5,67.79,2198.56,0.5669,83.15,1.288
rgb_007_04.png,Plant_02,3503.83,3491.39,0.0,80.24,106.52,5022.25,0.6977,64.79,1.753
rgb_007_04.png,Plant_03,2388.04,2373.21,0.0,91.31,59.49,3697.61,0.6458,13.79,1.666
rgb_007_04.png,Plant_04,2976.56,2969.86,0.0,87.85,66.4,3661.72,0.8129,153.78,1.865
rgb_007_04.png,Plant_05,3234.93,3221.05,0.0,89.23,71.94,4632.78,0.6983,166.73,1.376
rgb_007_05.png,Plant_01,1234.83,1222.34,0.0,51.29,67.24,2203.72,0.5603,81.3,1.222
rgb_007_05.png,Plant_02,3475.32,3459.46,0.0,79.02,105.36,4967.45,0.6996,67.52,1.933
rgb_007_05.png,Plant_03,2378.86,2365.89,0.0,88.73,63.08,3800.36,0.626,22.21,1.6
rgb_007_05.png,Plant_04,3158.2,3150.99,0.0,90.8,66.54,3931.29,0.8033,155.8,1.813
rgb_007_05.png,Plant_05,3305.71,3291.77,0.0,89.42,74.86,4732.01,0.6986,170.53,1.283
rgb_008_00.png,Plant_01,1297.53,1285.01,0.0,52.74,66.62,2315.23,0.5604,83.03,1.344
rgb_008_00.png,Plant_02,3659.48,3646.0,0.0,77.03,102.71,5132.09,0.7131,64.41,1.92
rgb_008_00.png,Plant_03,2489.58,2477.54,0.0,87.44,65.93,3968.45,0.6273,17.57,1.448
rgb_008_00.png,Plant_04,3212.04,3202.41,0.0,93.0,63.15,4076.58,0.7879,161.93,1.842
rgb_008_00.png,Plant_05,3482.72,3472.61,0.0,90.91,75.65,4863.34,0.7161,4.59,1.122
rgb_008_01.png,Plant_01,1304.98,1294.41,0.0,54.76,65.16,2386.07,0.5469,68.2,1.325
rgb_008_01.png,Plant_02,3899.58,3882.76,0.0,77.63,105.36,5824.38,0.6695,71.56,1.587
rgb_008_01.png,Plant_03,2613.81,2602.76,0.0,85.95,65.85,4081.68,0.6404,12.83,1.358
rgb_008_01.png,Plant_04,3375.38,3368.17,0.0,94.96,59.61,4108.83,0.8215,165.47,1.77
rgb_008_01.png,Plant_05,3763.12,3746.31,0.0,90.8,77.63,5300.9,0.7099,168.84,1.218
rgb_008_02.png,Plant_01,1472.73,1457.42,0.0,60.18,67.1,2693.3,0.5468,56.2,1.246
rgb_008_02.png,Plant_02,4343.06,4328.23,0.0,78.86,109.98,6715.79,0.6467,79.83,1.483
rgb_008_02.png,Plant_03,2538.28,2523.92,0.0,85.77,59.49,3950.24,0.6426,12.85,1.396
rgb_008_02.png,Plant_04,3613.88,3604.31,0.0,96.84,60.18,4446.41,0.8128,170.29,1.586
